电影名称,评分,上映时间,导演,链接信息
真爱至上,8.6,2003,理查德·柯蒂斯,https://movie.douban.com/subject/1292401/
时空恋旅人,8.7,2013,理查德·柯蒂斯,https://movie.douban.com/subject/10577869/
贫民窟的百万富翁,8.6,2008,丹尼·博伊尔,https://movie.douban.com/subject/2209573/
黑天鹅,8.5,2010,达伦·阿伦诺夫斯基,https://movie.douban.com/subject/1978709/
记忆碎片,8.6,2000,克里斯托弗·诺兰,https://movie.douban.com/subject/1304447/
心迷宫,8.7,2014,忻钰坤,https://movie.douban.com/subject/25917973/
纵横四海,8.8,1991,吴宇森,https://movie.douban.com/subject/1295409/
教父3,8.8,1990,弗朗西斯·福特·科波拉,https://movie.douban.com/subject/1294240/
荒蛮故事,8.8,2014,达米安·斯兹弗隆,https://movie.douban.com/subject/24750126/
完美的世界,9.1,1993,克林特·伊斯特伍德,https://movie.douban.com/subject/1300992/
达拉斯买家俱乐部,8.7,2013,让-马克·瓦雷,https://movie.douban.com/subject/1793929/
三块广告牌,8.7,2017,马丁·麦克唐纳,https://movie.douban.com/subject/26611804/
雨人,8.7,1988,巴瑞·莱文森,https://movie.douban.com/subject/1291870/
被解救的姜戈,8.7,2012,昆汀·塔伦蒂诺,https://movie.douban.com/subject/6307447/
花样年华,8.6,2000,王家卫,https://movie.douban.com/subject/1291557/
卢旺达饭店,8.9,2004,特瑞·乔治,https://movie.douban.com/subject/1291822/
你的名字。,8.4,2016,新海诚,https://movie.douban.com/subject/26683290/
我是山姆,8.9,2001,杰茜·尼尔森,https://movie.douban.com/subject/1306861/
哪吒闹海,9.0,1979,严定宪,https://movie.douban.com/subject/1307315/
头脑特工队,8.7,2015,彼特·道格特,https://movie.douban.com/subject/10533913/
海边的曼彻斯特,8.6,2016,肯尼思·洛纳根,https://movie.douban.com/subject/25980443/
你看起来好像很好吃,8.8,2010,藤森雅也,https://movie.douban.com/subject/4848115/
恋恋笔记本,8.5,2004,尼克·卡萨维茨,https://movie.douban.com/subject/1309163/
无敌破坏王,8.7,2012,瑞奇·摩尔,https://movie.douban.com/subject/6534248/
冰川时代,8.5,2002,卡洛斯·沙尔丹哈,https://movie.douban.com/subject/1291578/
二十二,8.7,2015,郭柯,https://movie.douban.com/subject/26430107/
